"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2023","3.7505","3.7473","3.7604","3.7343","","0.47%"
"06/22/2023","3.7331","3.7457","3.7548","3.7374","","-0.02%"
"06/21/2023","3.7340","3.7443","3.7564","3.7273","","0.07%"
"06/20/2023","3.7313","3.7417","3.7483","3.7180","","-0.11%"
"06/19/2023","3.7354","3.7511","3.7604","3.7071","","-0.49%"
"06/16/2023","3.7538","3.7357","3.8132","3.7081","","0.48%"
"06/15/2023","3.7360","3.8393","3.9664","3.6914","","-2.79%"
"06/14/2023","3.8433","3.7329","3.9106","3.7174","","3.31%"
"06/13/2023","3.7203","3.6468","3.7369","3.6332","","2.03%"
"06/12/2023","3.6462","3.5895","3.6583","3.5826","","1.74%"
"06/09/2023","3.5840","3.5751","3.6091","3.5460","","0.62%"
"06/08/2023","3.5618","3.5279","3.5785","3.5111","","1.00%"
"06/07/2023","3.5264","3.5390","3.5391","3.5055","","-0.17%"
"06/06/2023","3.5325","3.5178","3.5390","3.5002","","0.53%"
"06/05/2023","3.5139","3.5292","3.5415","3.4996","","-0.15%"
"06/02/2023","3.5191","3.5733","3.5763","3.5208","","-1.33%"
"06/01/2023","3.5667","3.5111","3.5778","3.5018","","1.71%"
"05/31/2023","3.5067","3.5633","3.5666","3.5009","","-1.34%"
"05/30/2023","3.5542","3.5975","3.5992","3.5519","","-0.77%"
"05/29/2023","3.5818","3.5991","3.6049","3.5696","","-0.41%"
"05/26/2023","3.5965","3.6558","3.6576","3.5898","","-1.45%"
"05/25/2023","3.6495","3.6708","3.6820","3.6453","","-0.41%"
"05/24/2023","3.6647","3.6800","3.6834","3.6537","","-0.30%"
"05/23/2023","3.6758","3.6881","3.6899","3.6662","","-0.15%"
"05/22/2023","3.6814","3.7074","3.7099","3.6796","","-0.39%"
"05/19/2023","3.6958","3.7092","3.7283","3.6958","","-0.08%"
"05/18/2023","3.6988","3.7051","3.7268","3.6835","","-0.06%"
"05/17/2023","3.7010","3.7604","3.7610","3.7048","","-1.40%"
"05/16/2023","3.7537","3.8090","3.8100","3.7534","","-1.30%"
"05/15/2023","3.8033","3.7996","3.8207","3.7842","","0.24%"
"05/12/2023","3.7943","3.8145","3.8598","3.7649","","-0.46%"
"05/11/2023","3.8120","3.8584","3.8896","3.7806","","-1.11%"
"05/10/2023","3.8548","3.8792","3.8943","3.8467","","-0.10%"
"05/09/2023","3.8588","3.9004","3.9011","3.8534","","-0.75%"
"05/08/2023","3.8880","3.9101","3.9478","3.8521","","-0.36%"
"05/05/2023","3.9021","3.9098","3.9130","3.9046","","-0.01%"
"05/04/2023","3.9026","3.9083","3.9329","3.8855","","-0.08%"
"05/03/2023","3.9056","3.9248","3.9751","3.8770","","-0.18%"
"05/02/2023","3.9125","3.9244","3.9513","3.9032","","0.03%"
"05/01/2023","3.9115","3.9244","3.9283","3.9235","","-0.05%"
"04/28/2023","3.9134","3.9402","3.9506","3.9042","","-0.04%"
"04/27/2023","3.9151","3.9397","3.9609","3.9154","","0.06%"
"04/26/2023","3.9129","3.9236","3.9509","3.9136","","-0.18%"
"04/25/2023","3.9200","3.9086","3.9548","3.8833","","0.40%"
"04/24/2023","3.9044","3.8979","3.9745","3.8785","","0.78%"
"04/21/2023","3.8743","3.8958","3.9367","3.8738","","0.10%"
"04/20/2023","3.8705","3.8879","3.9528","3.8503","","0.01%"
"04/19/2023","3.8702","3.8978","3.9548","3.8510","","-0.04%"
"04/18/2023","3.8719","3.9027","3.9543","3.8384","","-0.43%"
"04/17/2023","3.8888","3.9186","3.9367","3.8728","","-0.20%"
"04/14/2023","3.8964","3.9290","3.9364","3.9180","","-0.21%"
"04/13/2023","3.9045","3.9143","3.9325","3.9133","","0.35%"
"04/12/2023","3.8907","3.9044","3.9308","3.8335","","0.13%"
"04/11/2023","3.8855","3.9041","3.9578","3.8316","","0.20%"
"04/10/2023","3.8778","3.9129","3.9571","3.8735","","-0.74%"
"04/07/2023","3.9067","3.9135","3.9155","3.9098","","-0.06%"
"04/06/2023","3.9091","3.9352","3.9594","3.8612","","-0.67%"
"04/05/2023","3.9356","3.9271","3.9404","3.9225","","0.20%"
"04/04/2023","3.9277","3.9529","3.9732","3.8679","","-0.02%"
"04/03/2023","3.9285","3.9567","4.0079","3.8696","","-0.32%"
"03/31/2023","3.9411","3.9774","4.0416","3.9032","","-0.42%"
"03/30/2023","3.9576","3.9641","4.0366","3.8962","","0.14%"
"03/29/2023","3.9522","3.9495","4.0268","3.8848","","0.11%"
"03/28/2023","3.9478","3.9237","3.9851","3.8909","","0.62%"
"03/27/2023","3.9234","3.9030","3.9585","3.8589","","0.96%"
"03/24/2023","3.8861","3.8777","3.9657","3.8747","","0.57%"
"03/23/2023","3.8642","3.8898","3.9562","3.8516","","-0.17%"
"03/22/2023","3.8706","3.8886","3.9063","3.7794","","0.07%"
"03/21/2023","3.8679","4.1205","4.1205","3.8530","","-6.11%"
"03/20/2023","4.1197","4.0911","4.1291","4.0197","","1.23%"
"03/17/2023","4.0698","4.1094","4.1821","4.0403","","-0.21%"
"03/16/2023","4.0784","4.0774","4.1740","4.0128","","0.19%"
"03/15/2023","4.0708","4.0715","4.1695","4.0051","","-0.04%"
"03/14/2023","4.0725","3.9794","4.1261","3.9301","","2.29%"
"03/13/2023","3.9811","3.9179","4.0115","3.8311","","1.97%"
"03/10/2023","3.9041","3.9311","3.9736","3.7767","","-0.70%"
