"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2023","401.731","399.761","406.590","398.748","","0.97%"
"08/02/2023","397.854","406.309","407.392","398.261","","-1.77%"
"08/01/2023","405.031","408.280","408.408","405.148","","-0.45%"
"07/31/2023","406.870","422.733","424.496","407.914","","-3.47%"
"07/28/2023","421.480","420.956","423.999","419.281","","0.44%"
"07/27/2023","419.643","425.694","428.251","420.512","","-1.12%"
"07/26/2023","424.399","427.056","428.536","423.677","","-0.31%"
"07/25/2023","425.700","423.357","427.172","421.417","","0.84%"
"07/24/2023","422.173","421.133","424.651","420.332","","0.59%"
"07/21/2023","419.716","418.177","421.765","418.048","","0.69%"
"07/20/2023","416.826","419.224","421.596","417.284","","-0.25%"
"07/19/2023","417.865","420.931","421.652","416.670","","-0.44%"
"07/18/2023","419.695","421.766","424.331","419.595","","0.03%"
"07/17/2023","419.579","417.491","423.898","417.300","","0.83%"
"07/14/2023","416.135","417.105","421.000","416.597","","-0.04%"
"07/13/2023","416.316","408.996","417.391","406.663","","2.10%"
"07/12/2023","407.760","406.081","409.563","403.461","","0.74%"
"07/11/2023","404.772","400.621","406.797","400.402","","1.55%"
"07/10/2023","398.598","398.527","401.822","396.789","","0.50%"
"07/07/2023","396.632","394.848","399.134","393.994","","0.75%"
"07/06/2023","393.666","389.829","396.246","389.281","","1.27%"
"07/05/2023","388.742","390.289","391.325","388.195","","-0.06%"
"07/04/2023","388.987","390.658","391.505","387.451","","-0.32%"
"07/03/2023","390.218","390.443","391.612","389.534","","-0.11%"
"06/30/2023","390.648","388.350","391.720","387.719","","0.73%"
"06/29/2023","387.819","388.888","389.842","387.473","","-0.18%"
"06/28/2023","388.526","393.431","393.820","387.965","","-1.03%"
"06/27/2023","392.577","391.653","395.159","391.237","","0.43%"
"06/26/2023","390.894","391.197","394.762","389.523","","0.01%"
"06/23/2023","390.863","391.211","392.464","389.302","","0.21%"
"06/22/2023","390.028","392.070","394.164","390.344","","-0.18%"
"06/21/2023","390.731","391.855","393.807","388.728","","0.06%"
"06/20/2023","390.487","392.060","393.831","389.767","","-0.23%"
"06/19/2023","391.374","394.185","395.090","389.272","","-0.71%"
"06/16/2023","394.185","391.099","399.778","388.530","","0.77%"
"06/15/2023","391.160","398.980","412.263","384.005","","-1.94%"
"06/14/2023","398.885","387.203","406.001","385.576","","3.38%"
"06/13/2023","385.835","375.776","387.618","374.842","","2.62%"
"06/12/2023","376.001","372.132","379.633","371.370","","1.24%"
"06/09/2023","371.414","370.447","373.572","367.030","","0.64%"
"06/08/2023","369.058","362.525","370.594","360.920","","2.00%"
"06/07/2023","361.829","362.766","364.405","358.821","","-0.06%"
"06/06/2023","362.043","360.810","363.044","359.232","","0.38%"
"06/05/2023","360.673","362.528","363.263","358.147","","-0.09%"
"06/02/2023","360.992","368.264","369.078","362.033","","-1.83%"
"06/01/2023","367.726","361.071","368.691","359.077","","1.96%"
"05/31/2023","360.673","365.622","365.990","357.856","","-1.17%"
"05/30/2023","364.942","366.900","367.701","363.443","","-0.18%"
"05/29/2023","365.590","366.926","367.799","364.075","","-0.27%"
"05/26/2023","366.587","372.771","373.224","365.996","","-1.46%"
"05/25/2023","372.034","375.247","377.108","372.302","","-0.69%"
"05/24/2023","374.629","378.566","379.130","374.570","","-0.88%"
"05/23/2023","377.945","379.966","380.271","375.953","","-0.34%"
"05/22/2023","379.237","382.169","382.936","379.128","","-0.57%"
"05/19/2023","381.409","380.957","383.289","379.299","","0.45%"
"05/18/2023","379.685","381.524","382.840","378.402","","-0.30%"
"05/17/2023","380.823","386.379","386.565","379.477","","-1.29%"
"05/16/2023","385.787","392.283","392.612","385.807","","-1.61%"
"05/15/2023","392.095","389.234","392.674","388.564","","0.88%"
"05/12/2023","388.658","391.908","397.326","386.259","","-0.74%"
"05/11/2023","391.563","399.077","402.428","389.591","","-1.81%"
"05/10/2023","398.792","401.979","403.323","397.877","","-0.31%"
"05/09/2023","400.022","402.514","403.634","398.821","","-0.30%"
"05/08/2023","401.221","403.864","408.029","398.302","","-0.42%"
"05/05/2023","402.929","401.643","404.280","401.260","","0.47%"
"05/04/2023","401.047","401.227","404.227","399.156","","-0.09%"
"05/03/2023","401.420","400.063","407.723","396.480","","0.64%"
"05/02/2023","398.848","401.154","404.010","398.345","","-0.26%"
"05/01/2023","399.872","403.385","403.546","400.592","","-0.52%"
"04/28/2023","401.952","402.146","403.978","397.839","","0.51%"
"04/27/2023","399.904","401.405","403.492","398.583","","0.24%"
"04/26/2023","398.944","399.228","403.500","398.264","","0.01%"
"04/25/2023","398.917","399.361","404.081","395.913","","-0.16%"
"04/24/2023","399.538","398.048","405.663","395.449","","1.08%"
"04/21/2023","395.274","397.920","402.025","394.929","","-0.10%"
"04/20/2023","395.687","398.177","404.116","393.685","","-0.12%"
"04/19/2023","396.150","397.697","403.983","392.694","","0.27%"
"04/18/2023","395.083","395.936","403.171","390.793","","0.09%"
"04/17/2023","394.731","398.490","400.560","393.554","","-0.31%"
"04/14/2023","395.975","401.957","402.775","397.992","","-0.86%"
"04/13/2023","399.420","400.769","402.486","400.544","","0.32%"
"04/12/2023","398.144","398.237","401.592","390.861","","0.47%"
"04/11/2023","396.294","396.241","404.077","390.153","","0.65%"
"04/10/2023","393.716","397.846","402.714","393.621","","-0.88%"
"04/07/2023","397.216","398.423","398.935","396.774","","-0.21%"
"04/06/2023","398.048","401.803","404.352","393.776","","-0.95%"
"04/05/2023","401.868","403.190","403.625","400.948","","-0.32%"
"04/04/2023","403.158","403.488","407.145","394.354","","0.57%"
"04/03/2023","400.875","401.943","407.410","391.573","","0.32%"
"03/31/2023","399.589","404.371","411.428","396.973","","-0.71%"
"03/30/2023","402.448","401.405","409.699","394.359","","0.58%"
"03/29/2023","400.108","400.515","408.918","393.810","","-0.08%"
"03/28/2023","400.434","396.159","403.399","393.529","","1.06%"
"03/27/2023","396.224","393.179","399.660","389.052","","1.24%"
"03/24/2023","391.360","392.051","400.490","391.126","","0.18%"
"03/23/2023","390.663","393.803","400.838","390.074","","-0.30%"
"03/22/2023","391.835","392.712","396.813","382.188","","0.25%"
"03/21/2023","390.848","417.404","417.674","389.582","","-6.35%"
"03/20/2023","417.352","412.004","417.725","404.587","","2.02%"
"03/17/2023","409.080","411.118","419.125","404.886","","-0.49%"
"03/16/2023","411.101","407.279","416.996","400.691","","0.94%"
"03/15/2023","407.262","407.361","418.038","401.128","","-0.01%"
"03/14/2023","407.310","399.026","413.288","393.259","","2.08%"
"03/13/2023","398.994","385.267","399.583","379.667","","3.65%"
"03/10/2023","384.961","384.614","388.949","369.520","","0.10%"
"03/09/2023","384.582","381.987","386.664","367.086","","0.68%"
"03/08/2023","381.970","381.502","385.178","373.788","","0.08%"
"03/07/2023","381.647","408.233","408.962","381.076","","-6.50%"
"03/06/2023","408.164","408.676","409.099","407.146","","-0.16%"
"03/03/2023","408.810","413.229","417.418","400.778","","-1.07%"
"03/02/2023","413.229","430.676","430.944","408.949","","-4.04%"
"03/01/2023","430.621","435.179","436.211","422.840","","-1.05%"
"02/28/2023","435.197","437.961","439.632","428.357","","-0.62%"
"02/27/2023","437.924","436.450","438.033","428.293","","0.46%"
"02/24/2023","435.939","438.439","440.938","433.422","","-0.60%"
"02/23/2023","438.548","440.008","442.477","433.298","","-0.26%"
"02/22/2023","439.680","442.272","443.528","433.073","","-0.55%"
"02/21/2023","442.089","435.752","443.421","431.478","","2.21%"
"02/20/2023","432.549","440.448","442.293","433.297","","-1.68%"
"02/17/2023","439.953","437.928","440.520","431.228","","0.47%"
"02/16/2023","437.874","439.023","442.086","433.838","","-0.27%"
"02/15/2023","439.060","444.279","445.499","436.208","","-1.17%"
"02/14/2023","444.260","443.001","448.153","438.004","","0.28%"
"02/13/2023","443.038","440.576","444.170","433.965","","0.69%"
"02/10/2023","440.008","443.134","446.070","436.008","","-0.69%"
"02/09/2023","443.078","441.233","447.053","435.696","","0.42%"
"02/08/2023","441.232","440.209","443.815","436.163","","0.20%"
"02/07/2023","440.355","439.177","442.978","434.078","","0.31%"
"02/06/2023","438.995","439.534","442.403","434.568","","-0.22%"
"02/03/2023","439.972","447.435","449.572","439.578","","-1.67%"
"02/02/2023","447.435","453.035","457.135","446.523","","-1.24%"
"02/01/2023","453.035","452.724","454.848","446.600","","0.75%"
"01/31/2023","449.680","452.047","455.115","446.547","","-0.54%"
"01/30/2023","452.102","451.324","457.915","449.104","","0.74%"
"01/27/2023","448.771","451.633","456.407","447.669","","-0.06%"
"01/26/2023","449.061","451.415","458.205","448.760","","0.04%"
"01/25/2023","448.880","448.813","454.544","446.454","97.76K","0.55%"
"01/24/2023","446.418","450.505","456.926","445.523","98.05K","-0.35%"
"01/23/2023","447.975","453.970","460.369","448.435","102.19K","-1.26%"
"01/20/2023","453.713","454.732","456.612","447.870","145.78K","-0.22%"
"01/19/2023","454.714","449.577","455.955","447.253","170.87K","1.74%"
"01/18/2023","446.925","451.658","454.931","445.293","164.32K","-0.35%"
"01/17/2023","448.512","446.557","452.081","441.154","163.76K","0.50%"
"01/16/2023","446.264","447.106","449.852","445.441","116.73K","-0.31%"
"01/13/2023","447.638","448.719","450.188","442.190","164.97K","-0.23%"
"01/12/2023","448.681","445.152","450.134","440.536","132.71K","0.81%"
"01/11/2023","445.078","446.715","447.892","438.386","134.99K","-0.38%"
"01/10/2023","446.771","447.983","448.314","438.548","174.98K","-0.23%"
"01/09/2023","447.799","442.036","449.173","439.945","144.33K","2.02%"
"01/06/2023","438.940","435.457","442.292","432.753","164.88K","1.56%"
"01/05/2023","432.188","440.592","443.698","433.940","135.73K","-1.22%"
"01/04/2023","437.524","437.376","444.216","436.585","181.17K","0.75%"
"01/03/2023","434.257","440.281","445.700","434.642","159.20K","-0.68%"
"01/02/2023","437.234","444.585","444.777","439.843","18.48K","-1.67%"
"12/30/2022","444.639","440.940","445.560","436.854","138.57K","1.63%"
"12/29/2022","437.488","439.167","444.922","437.128","117.16K","0.30%"
"12/28/2022","436.181","439.587","445.181","435.561","106.85K","-0.04%"
"12/27/2022","436.362","440.903","446.296","437.602","117.71K","-0.32%"
"12/26/2022","437.778","440.209","441.634","440.209","5.53K","0.02%"
"12/23/2022","437.705","440.208","445.329","436.116","142.09K","0.12%"
"12/22/2022","437.161","441.452","447.523","437.820","143.63K","-0.33%"
"12/21/2022","438.613","445.272","448.912","439.379","137.93K","-0.80%"
"12/20/2022","442.170","443.695","450.198","439.105","167.13K","-0.29%"
"12/19/2022","443.458","446.513","451.394","441.974","140.20K","-0.62%"
"12/16/2022","446.238","447.560","451.789","440.014","128.34K","-0.29%"
"12/15/2022","447.543","454.171","458.806","445.911","146.27K","-0.74%"
"12/14/2022","450.882","454.194","458.190","448.614","169.35K","-0.71%"
"12/13/2022","454.084","451.070","457.374","445.415","141.27K","0.68%"
"12/12/2022","450.997","450.134","452.854","444.216","126.42K","0.12%"
"12/09/2022","450.446","449.620","453.301","443.160","143.39K","0.18%"
"12/08/2022","449.637","448.424","451.487","440.552","172.95K","0.28%"
"12/07/2022","448.388","446.018","449.674","444.859","178.01K","0.52%"
"12/06/2022","446.091","447.799","451.563","440.536","154.42K","-0.42%"
"12/05/2022","447.983","452.022","454.951","445.201","163.72K","-1.10%"
"12/02/2022","452.944","451.598","453.517","446.197","147.31K","0.40%"
"12/01/2022","451.155","444.264","453.680","440.813","171.66K","1.54%"
"11/30/2022","444.319","439.201","445.480","434.838","189.50K","1.13%"
"11/29/2022","439.347","440.708","445.177","434.820","132.13K","-0.28%"
"11/28/2022","440.579","443.868","448.164","437.233","127.46K","-0.88%"
"11/25/2022","444.492","446.328","447.132","439.018","111.48K","-0.41%"
"11/24/2022","446.328","440.556","448.630","440.319","146.91K","2.02%"
"11/23/2022","437.488","436.793","442.809","431.711","129.93K","0.16%"
"11/22/2022","436.775","434.570","437.750","427.136","138.03K","0.52%"
"11/21/2022","434.514","436.941","437.495","428.541","144.33K","-0.54%"
"11/18/2022","436.885","435.984","440.374","433.779","158.57K","0.20%"
"11/17/2022","436.003","437.859","440.630","429.496","155.19K","-0.39%"
"11/16/2022","437.693","436.059","440.735","429.022","162.78K","0.42%"
"11/15/2022","435.855","429.500","441.993","426.967","172.93K","2.17%"
"11/14/2022","426.598","433.835","437.359","425.260","153.77K","-1.93%"
"11/11/2022","435.011","431.736","435.709","423.803","171.24K","0.77%"
"11/10/2022","431.698","417.408","432.362","411.468","165.41K","3.42%"
"11/09/2022","417.426","421.879","427.346","413.829","156.20K","-0.86%"
"11/08/2022","421.064","419.650","425.805","415.953","154.21K","1.05%"
"11/07/2022","416.698","412.031","420.743","411.503","151.66K","1.20%"
"11/04/2022","411.775","410.352","415.134","405.404","156.30K","0.34%"
"11/03/2022","410.388","418.234","419.741","408.939","140.18K","-1.84%"
"11/02/2022","418.088","421.500","425.797","417.411","130.08K","-0.81%"
"11/01/2022","421.500","419.247","427.370","417.911","131.16K","1.24%"
"10/31/2022","416.325","424.292","426.703","418.809","133.86K","-1.21%"
"10/28/2022","421.443","422.050","426.853","418.115","142.28K","0.40%"
